Name: CCTV13, URL: http://3501776.xyz:35455/gaoma/cctv13.m3u8$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV13, URL: https://api.olelive.com/dis/live/CCTV13HD/hls.m3u8$订阅源, Date: None, Delay: 97 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV13, URL: http://219.135.180.210:18888/hls/13/index.m3u8$订阅源, Date: None, Delay: 499 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV13, URL: http://47.76.64.222:15000/TVOD/1000000002000021303/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: CCTV13, URL: http://lt.hxtre.com:35455/itv/1000000002000021303.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV13, URL: http://123.182.60.29:9002/hls/13/index.m3u8$订阅源, Date: None, Delay: 863 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: CCTV13, URL: http://pan.taokee.vip:35455/gaoma/cctv13.m3u8$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV14, URL: https://api.olelive.com/dis/live/CCTV14HD/hls.m3u8$订阅源, Date: None, Delay: 97 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV14, URL: http://3501776.xyz:35455/gaoma/cctv14.m3u8$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV14, URL: http://219.135.180.210:18888/hls/14/index.m3u8$订阅源, Date: None, Delay: 499 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV14, URL: http://47.76.64.222:15000/TVOD/6000000001000013647/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: CCTV14, URL: http://lt.hxtre.com:35455/itv/1000000005000265013.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV14, URL: http://123.182.60.29:9002/hls/14/index.m3u8$订阅源, Date: None, Delay: 863 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: CCTV14, URL: http://pan.taokee.vip:35455/itv/1000000005000265013.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV15, URL: https://api.olelive.com/dis/live/CCTV15HD/hls.m3u8$订阅源, Date: None, Delay: 97 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV15, URL: http://3501776.xyz:35455/itv/1000000005000265014.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 1203 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV15, URL: http://219.135.180.210:18888/hls/15/index.m3u8$订阅源, Date: None, Delay: 499 ms, Speed: 0.02 M/s, Resolution: 1920x1080
Name: CCTV15, URL: http://47.76.64.222:15000/TVOD/5000000011000031109/wasusyt/index.m3u8?$订阅源, Date: None, Delay: 1117 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: CCTV15, URL: http://lt.hxtre.com:35455/itv/1000000005000265014.m3u8?cdn=ystenlive$订阅源, Date: None, Delay: 790 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV15, URL: http://123.182.60.29:9002/hls/15/index.m3u8$订阅源, Date: None, Delay: 863 ms, Speed: 0.05 M/s, Resolution: 1920x1080
Name: CCTV15, URL: http://pan.taokee.vip:35455/itv/1000000005000265014.m3u8?cdn=wasusyt$订阅源, Date: None, Delay: 1539 ms, Speed: 0.00 M/s, Resolution: 1920x1080
Name: CCTV16, URL: https://api.olelive.com/dis/live/CCTV16HD/hls.m3u8$订阅源, Date: None, Delay: 97 ms, Speed: 0.00 M/s, Resolution: 1920x1080
